Documentos,Aceitação,Justificativa
L14926,Rejeitado,Nenhum conteúdo relevante
L14944,Rejeitado,"O documento trata exclusivamente de políticas de manejo integrado do fogo e prevenção de incêndios florestais, sem qualquer menção a infraestrutura UAM, planejamento territorial urbano ou parâmetros edificatórios aplicáveis ao ecossistema de mobilidade aérea."
L15022,Rejeitado,Nenhum conteúdo relevante
L15060,Rejeitado,Nenhum conteúdo relevante
L15068,Rejeitado,Nenhum conteúdo relevante
L15069,Rejeitado,Nenhum conteúdo relevante
L15070,Rejeitado,Nenhum conteúdo relevante
L15103,Rejeitado,"O documento trata de transição energética e financiamento de projetos sustentáveis, sem estabelecer parâmetros específicos de uso do solo, zoneamento ou regras de infraestrutura UAM obrigatórias para planejamento territorial urbano."
L15180,Aceito,"O documento estabelece diretrizes ambientais e de uso do solo em unidades de conservação que afetam obrigatoriamente a implantação de qualquer infraestrutura urbana de grande porte, incluindo vertiportos e helipontos do ecossistema UAM."
L15190,Aceito,"O documento estabelece normas obrigatórias de licenciamento ambiental para grandes empreendimentos, incluindo vertiportos, impondo condicionantes e restrições que afetam diretamente o planejamento territorial urbano para infraestrutura UAM."
L179,Rejeitado,Nenhum conteúdo relevante
L1799,Rejeitado,Nenhum conteúdo relevante
L301,Rejeitado,Nenhum conteúdo relevante
L302,Rejeitado,Nenhum conteúdo relevante
L311,Rejeitado,Nenhum conteúdo relevante
L3692,Rejeitado,Nenhum conteúdo relevante
L3995,Rejeitado,Nenhum conteúdo relevante
L4216,Rejeitado,Nenhum conteúdo relevante
L4239,Rejeitado,Nenhum conteúdo relevante
L4766,Aceito,"O documento estabelece obrigatoriedade de Plano Diretor Regional para ordenamento territorial, incluindo delimitação de áreas urbanas e zoneamento, que são fundamentais para o planejamento de infraestrutura UAM e definição de locais para vertiportos."
L4869,Rejeitado,Nenhum conteúdo relevante
L5147,Rejeitado,Nenhum conteúdo relevante
L5416,Rejeitado,Nenhum conteúdo relevante
L5508,Rejeitado,Nenhum conteúdo relevante
L5645,Rejeitado,Nenhum conteúdo relevante
L6151,Rejeitado,Nenhum conteúdo relevante
L6182,Rejeitado,Nenhum conteúdo relevante
L6261,Aceito,"O documento estabelece o Sistema Nacional de Transportes Urbanos com integração modal obrigatória no planejamento urbano, criando diretrizes aplicáveis ao ecossistema UAM, especialmente quanto à integração de aeroportos e infraestrutura de transporte."
L6406,Rejeitado,Nenhum conteúdo relevante
L6431,Rejeitado,Nenhum conteúdo relevante
L6550,Rejeitado,Nenhum conteúdo relevante
L6574,Rejeitado,Nenhum conteúdo relevante
L6662,Rejeitado,Nenhum conteúdo relevante
L6766,Aceito,"Estabelece regras obrigatórias para parcelamento do solo urbano que se aplicam a qualquer infraestrutura de grande porte, incluindo vertiportos, com disposições sobre zoneamento, áreas não-edificáveis, infraestrutura básica e limitações administrativas ao uso do solo."
L6803,Aceito,"O documento estabelece diretrizes obrigatórias de zoneamento industrial e uso do solo que afetam diretamente a implantação de infraestrutura urbana, incluindo possíveis instalações UAM, através de regras ambientais e de ocupação territorial."
L6902,Aceito,"Estabelece restrições obrigatórias ao uso do solo e proteção ambiental que impactam diretamente o planejamento e implantação de infraestruturas urbanas de grande porte, incluindo vertiportos e heliportos do ecossistema UAM."
L6938,Aceito,"O documento estabelece obrigatoriedade de licenciamento ambiental para atividades de alto impacto, incluindo aeroportos, e define limitações ao uso do solo e zoneamento ambiental aplicáveis à infraestrutura UAM."
L6976,Rejeitado,Nenhum conteúdo relevante
L7039,Rejeitado,Nenhum conteúdo relevante
L719,Rejeitado,Nenhum conteúdo relevante
L7418,Rejeitado,Nenhum conteúdo relevante
L7463,Rejeitado,Nenhum conteúdo relevante
L7486,Rejeitado,Nenhum conteúdo relevante
L7499,Aceito,"Embora a maioria das partes não trate de UAM, as partes 14 e 16 estabelecem diretrizes obrigatórias de impacto ambiental, uso do solo, zoneamento e infraestrutura urbana aplicáveis a grandes empreendimentos, incluindo infraestrutura UAM."
L7565,Aceito,"O documento estabelece regras fundamentais sobre infraestrutura aeronáutica, definições de aeródromos/heliportos, zoneamento de ruído e restrições de uso do solo em zonas de proteção, diretamente aplicáveis ao planejamento territorial para UAM."
L7596,Rejeitado,Nenhum conteúdo relevante
L7661,Aceito,"O documento estabelece regras obrigatórias de uso do solo, zoneamento e licenciamento ambiental para infraestrutura, criando limitações administrativas que afetam diretamente o planejamento territorial de vertiportos e infraestrutura UAM."
L7804,Aceito,"O documento estabelece exigências obrigatórias de estudos de impacto ambiental e define crimes ambientais aplicáveis ao licenciamento de infraestrutura UAM, enquadrando-se no critério de regras de proteção ambiental para implantação de infraestrutura urbana de grande porte."
L7935,Rejeitado,Nenhum conteúdo relevante
L8078,Aceito,Documento aceito para composição da base de identificação.
L8244,Rejeitado,Nenhum conteúdo relevante
L8445,Rejeitado,Nenhum conteúdo relevante
L8693,Rejeitado,Nenhum conteúdo relevante
L8851,Rejeitado,Nenhum conteúdo relevante
L8995,Rejeitado,Nenhum conteúdo relevante
L9074,Aceito,Documento aceito para composição da base de identificação.
L9097,Aceito,"O documento estabelece restrições ambientais obrigatórias ao uso do solo em município paulista, criando limitações administrativas que impactam diretamente o planejamento territorial para implantação de infraestrutura UAM, incluindo vertiportos e aeródromos urbanos."
L9262,Aceito,"O documento estabelece restrições de uso do solo e zoneamento em área de proteção ambiental que obrigatoriamente afetam o planejamento de infraestrutura urbana de grande porte, incluindo possíveis instalações UAM."
L9360,Rejeitado,Nenhum conteúdo relevante
L9472,Rejeitado,Nenhum conteúdo relevante
L9497,Aceito,"O documento estabelece regime especial de gestão territorial com zoneamento específico, criando limitações administrativas obrigatórias ao uso do solo que afetam diretamente o planejamento de infraestrutura urbana de grande porte, incluindo possíveis instalações UAM."
L9503,Aceito,Documento aceito para composição da base de identificação.
L9600,Rejeitado,Nenhum conteúdo relevante
L9603,Rejeitado,Nenhum conteúdo relevante
L9605,Aceito,Documento aceito para composição da base de identificação.
L9989,Rejeitado,Nenhum conteúdo relevante
LC101,Rejeitado,Nenhum conteúdo relevante
LC11,Rejeitado,Nenhum conteúdo relevante
LC19,Rejeitado,Nenhum conteúdo relevante
LC3,Rejeitado,Nenhum conteúdo relevante
MCA 100-20,Aceito,Documento aceito para composição da base de identificação.
MCA 100-32,Aceito,Documento aceito para composição da base de identificação.
NBR 5419,Aceito,Documento aceito para composição da base de identificação.
NBR 9050,Aceito,Documento aceito para composição da base de identificação.
NBR 9077,Aceito,Documento aceito para composição da base de identificação.
NBR ISO 140,Aceito,Documento aceito para composição da base de identificação.
PA2018-3159 - CEF RBAC nº 65,Rejeitado,Nenhum conteúdo relevante
PA2025-16.523 CEF RBAC 91,Rejeitado,"O documento trata predominantemente de regras operacionais técnicas para aeronaves, equipamentos e procedimentos de voo, sem estabelecer diretrizes sobre uso do solo, zoneamento ou parâmetros edificatórios essenciais ao planejamento territorial urbano para UAM."
PCA 351-7,Aceito,"Estabelece a concepção operacional nacional para UAM, definindo diretrizes obrigatórias para integração de eVTOL no espaço aéreo brasileiro, incluindo parâmetros para infraestrutura e operações."
PL743,Aceito,"O documento estabelece diretamente parâmetros para vertiportos, define competências para regulamentação de infraestrutura UAM e altera leis de política urbana e mobilidade, criando base legal obrigatória para planejamento territorial de infraestruturas UAM."
PortariaANAC957,Aceito,Documento aceito para composição da base de identificação.
RBAC 39,Rejeitado,Nenhum conteúdo relevante
RBAC-E94,Aceito,Documento aceito para composição da base de identificação.
RBAC01,Aceito,"O documento estabelece definições fundamentais de aeródromos, helipontos e infraestrutura de aviação que são base conceitual obrigatória para planejamento de vertiportos e operações UAM, impactando diretamente decisões de uso do solo e localização de infraestrutura urbana."
RBAC011,Aceito,"Partes 1, 2, 3, 4 e 8 estabelecem definições técnicas obrigatórias para aeródromos, áreas aeroportuárias, heliportos e operações aéreas que fundamentam o planejamento de infraestrutura UAM, incluindo vertiportos e restrições de uso do solo."
RBAC045,Rejeitado,Nenhum conteúdo relevante
RBAC103,Aceito,"Partes 1-3 estabelecem requisitos operacionais, classificações de RPAS e restrições de áreas que impactam diretamente o planejamento de infraestrutura UAM, definindo limitações administrativas ao uso do solo para operações aéreas urbanas."
RBAC105,Aceito,"Partes 1 e 3 estabelecem requisitos operacionais para aeronaves não tripuladas, incluindo áreas de pouso/decolagem e restrições de operação que impactam diretamente o planejamento territorial urbano para infraestrutura UAM."
RBAC107,Aceito,"O documento estabelece requisitos obrigatórios de zoneamento de segurança, delimitação de perímetros, áreas controladas e parâmetros de infraestrutura para aeródromos e vertiportos, que constituem limitações administrativas ao uso do solo essenciais para o planejamento territorial urbano do ecossistema UAM."
RBAC108,Rejeitado,"O documento trata predominantemente de procedimentos de segurança operacional (AVSEC) para operadores aéreos, sem estabelecer normas de uso do solo, zoneamento ou parâmetros edificatórios aplicáveis ao planejamento territorial urbano para UAM."
RBAC110,Rejeitado,Nenhum conteúdo relevante
RBAC117,Rejeitado,Nenhum conteúdo relevante
RBAC119,Rejeitado,Nenhum conteúdo relevante
RBAC11EMD03,Rejeitado,Nenhum conteúdo relevante
RBAC121,Rejeitado,"O documento regula operações aéreas convencionais, sem menção específica a UAM/vertiportos. As partes relevantes tratam de requisitos gerais para aeródromos e rotas, mas não estabelecem limitações administrativas ao uso do solo ou parâmetros de planejamento territorial urbano obrigatórios para municípios."
RBAC129,Rejeitado,Nenhum conteúdo relevante
RBAC133EMD02,Aceito,"A Parte 3 estabelece restrições de sobrevoo sobre áreas congestionadas e requisitos de segurança que impactam diretamente o planejamento territorial urbano para operações UAM, configurando limitações administrativas obrigatórias."
RBAC135,Rejeitado,"Apenas a Parte 1 trata de requisitos operacionais aplicáveis à infraestrutura UAM, mas não estabelece limitações administrativas ao uso do solo, zoneamento ou parâmetros edificatórios obrigatórios para planejamento territorial urbano. As demais partes regulam exclusivamente aspectos operacionais da aviação."
RBAC136,Rejeitado,"Apenas a Parte 1 aborda operações de transporte aéreo, mas todas as partes focam exclusivamente em regulamentação operacional de aeronaves, tripulação e segurança de voo, sem estabelecer qualquer diretriz sobre uso do solo, zoneamento ou parâmetros de infraestrutura urbana necessários para planejamento territorial."
RBAC137,Rejeitado,Nenhum conteúdo relevante
RBAC139,Aceito,"O documento estabelece requisitos obrigatórios de certificação operacional, infraestrutura e segurança para aeródromos, incluindo especificações aplicáveis a vertiportos UAM, que impactam diretamente o planejamento territorial urbano para implantação desta infraestrutura."
RBAC141,Rejeitado,"O documento regula exclusivamente certificação e operação de centros de instrução de aviação civil, sem tratar de infraestrutura UAM, zoneamento ou parâmetros de uso do solo urbano."
RBAC142,Rejeitado,"O documento regula exclusivamente a operação e certificação de centros de instrução de aviação civil, sem estabelecer normas sobre infraestrutura UAM, uso do solo, zoneamento ou parâmetros edificatórios aplicáveis ao planejamento territorial urbano."
RBAC153,Aceito,"O documento estabelece restrições de uso do solo em raio de 20km, requisitos de segurança operacional, gestão de riscos e proteção de áreas operacionais que impactam diretamente o planejamento territorial para infraestrutura UAM/vertiportos."
RBAC154EMD08,Aceito,"O documento estabelece requisitos técnicos obrigatórios para infraestrutura aeroportuária aplicáveis a vertiportos e UAM, incluindo dimensionamento, localização, distâncias de segurança e limitações ao uso do solo que impactam diretamente o planejamento territorial urbano."
RBAC155,Aceito,"O documento estabelece requisitos técnicos obrigatórios para infraestrutura de helipontos (dimensões, áreas de segurança, sinalização) que são diretamente aplicáveis ao planejamento de vertiportos e infraestrutura UAM, servindo como base normativa para projetos de mobilidade aérea urbana."
RBAC161,Aceito,"O documento estabelece regras obrigatórias de zoneamento de ruído e compatibilidade de uso do solo no entorno de aeródromos, criando limitações administrativas que devem ser observadas no planejamento territorial urbano para infraestruturas aeroportuárias, incluindo helipontos."
RBAC175,Rejeitado,Nenhum conteúdo relevante
RBAC183,Rejeitado,Nenhum conteúdo relevante
RBAC21,Rejeitado,Nenhum conteúdo relevante
RBAC23,Rejeitado,Nenhum conteúdo relevante
RBAC25,Rejeitado,Nenhum conteúdo relevante
RBAC26,Rejeitado,Nenhum conteúdo relevante
RBAC27,Rejeitado,Nenhum conteúdo relevante
RBAC29,Rejeitado,Nenhum conteúdo relevante
RBAC31,Rejeitado,Nenhum conteúdo relevante
RBAC33,Rejeitado,Nenhum conteúdo relevante
RBAC34,Rejeitado,Nenhum conteúdo relevante
RBAC35,Rejeitado,Nenhum conteúdo relevante
RBAC36,Rejeitado,Nenhum conteúdo relevante
RBAC36EMD31 - Português,Aceito,"O documento estabelece requisitos obrigatórios de ruído para aeronaves UAM que impactam diretamente o licenciamento de infraestrutura, zoneamento acústico e planejamento territorial urbano, configurando limitações administrativas ao uso do solo."
RBAC39,Rejeitado,Nenhum conteúdo relevante
RBAC43,Rejeitado,Nenhum conteúdo relevante
RBAC60,Rejeitado,Nenhum conteúdo relevante
RBAC61,Rejeitado,Nenhum conteúdo relevante
RBAC63,Rejeitado,Nenhum conteúdo relevante
RBAC65,Rejeitado,Nenhum conteúdo relevante
RBAC67,Rejeitado,Nenhum conteúdo relevante
RBAC90,Rejeitado,"Apenas 3 das 16 partes analisadas apresentam relevância indireta para planejamento territorial, focando principalmente em aspectos operacionais e de segurança da aviação pública, sem estabelecer normas específicas sobre infraestrutura UAM, zoneamento ou parâmetros edificatórios obrigatórios."
RBAC91,Aceito,"Partes 1, 2, 5, 14 e 15 estabelecem regras operacionais aplicáveis ao planejamento territorial, incluindo operações em áreas não cadastradas, limitações de ruído, requisitos para aeródromos e restrições para operação sobre áreas densamente povoadas, que impactam diretamente a localização de infraestrutura UAM."
RBAC01,Aceito,"Partes relevantes definem infraestrutura aeronáutica aplicável a UAM (aeródromos, helipontos, FATO, restrições de espaço aéreo), estabelecendo parâmetros obrigatórios para planejamento de vertiportos e integração territorial urbana."
RBAC01,Aceito,"Partes 1, 2 e 4 contêm definições técnicas obrigatórias de aeródromos, helipontos e infraestrutura aeronáutica aplicáveis ao planejamento de vertiportos, estabelecendo parâmetros essenciais para implantação da infraestrutura UAM no território urbano."
RBAC_42,Rejeitado,"O documento regula aspectos técnicos e operacionais de aeronaves não tripuladas, sem estabelecer diretrizes sobre planejamento territorial, zoneamento ou parâmetros edificatórios para infraestrutura UAM."
RBAC_43,Rejeitado,Nenhum conteúdo relevante
RE0001-230186,Aceito,"O documento estabelece obrigatoriedade de EIA/RIMA para aeroportos, aplicável a vertiportos por equiparação a aeroportos, com diretrizes para análise de impactos ambientais e alternativas locacionais."
RE0003-280690,Aceito,"Estabelece padrões obrigatórios de qualidade do ar que impactam diretamente o licenciamento ambiental de infraestruturas UAM/vertiportos, incluindo limites de emissões atmosféricas aplicáveis a operações de aeronaves."
ResANAC653,Aceito,Documento aceito para composição da base de identificação.
ResANAC736,Aceito,Documento aceito para composição da base de identificação.
ResANAC775,Aceito,Documento aceito para composição da base de identificação.
ResCONAMA001-1986,Aceito,"Estabelece obrigatoriedade de EIA/RIMA para aeroportos, aplicável a vertiportos por equiparação a aeroportos, com critérios de avaliação ambiental obrigatórios no licenciamento de infraestrutura de grande porte."
ResCONAMA002,Aceito,Documento aceito para composição da base de identificação.
ResCONAMA003-1990,Aceito,"Estabelece padrões obrigatórios de qualidade do ar que devem ser observados no licenciamento ambiental de qualquer infraestrutura urbana de grande porte, incluindo vertiportos, com impacto direto nas emissões atmosféricas das operações de eVTOLs."
ResCONAMA237,Aceito,Documento aceito para composição da base de identificação.
ResCONAMA237-1997,Aceito,"Estabelece procedimentos obrigatórios de licenciamento ambiental para infraestruturas de transporte como aeroportos, aplicáveis a vertiportos por analogia com aeroportos/heliportos no Anexo I."
RESOLUÇÃO NORMATIVA ANEEL N 482,Aceito,Documento aceito para composição da base de identificação.
